インスタンスタイプ,インスタンスファミリー,インスタンスサイズ,アベイラビリティーゾーン,無料利用枠の対象,無料トライアルが利用できます,ベアメタル,ハイパーバイザー,vCPU,アーキテクチャ,コア,有効なコア,コアごとのスレッド,コアあたり有効なスレッド,持続クロック速度 (GHz),メモリ (GiB),ストレージ (GB),ローカルインスタンスストレージ,ストレージタイプ,ストレージディスク数,EBS 暗号化のサポート,EBS 最適化のサポート,ネットワークパフォーマンス,ベースライン帯域幅 (Gbps),バースト帯域幅 (Gbps),ENA 対応,ネットワークインターフェイスの最大数,インターフェイスあたりの IPv4 アドレス,インターフェイスあたりの IPv6 アドレス,IPv6 サポート,サポートされているプレイスメントグループ戦略,GPU,FPGA,自動復旧のサポート,サポートされているルートデバイスタイプ,Dedicated Host のサポート,オンデマンド休止のサポート,バースト可能パフォーマンスのサポート,現行世代,ENA Express のサポート,オンデマンド Windows 料金,オンデマンド Linux 料金,オンデマンド SUSE 料金,オンデマンド RHEL 料金,オンデマンド ap-northeast-1-tpe-1 Windows 料金,オンデマンド ap-northeast-1-tpe-1 RHEL 料金,オンデマンド ap-northeast-1-tpe-1 Linux 料金,オンデマンド ap-northeast-1-tpe-1 SUSE 料金,最大帯域幅 (Mbps),最大スループット (MB/秒､128 KiB I/O),最大 IOPS (16 KiB I/O),ベースラインの帯域幅 (Mbps),ベースラインスループット (MB/秒、128 KiB I/O),ベースライン IOPS (16 KiB I/O)
t1.micro,t1,micro,"az1,az4",FALSE,FALSE,FALSE,xen,1,"i386, x86_64",1,-,1,-,,0.612,-,-,-,-,supported,unsupported,極低,-,-,unsupported,2,2,-,-,"partition, spread",-,-,True,ebs,-,-,-,FALSE,FALSE,0.033,0.026,0.026,0.04,,,,,-,-,-,-,-,-
t2.nano,t2,nano,"az4,az2,az1",FALSE,FALSE,FALSE,xen,1,"i386, x86_64",1,-,1,-,2.4,0.5,-,-,-,-,supported,unsupported,低-中,低-中,低-中,unsupported,2,2,2,True,"partition, spread",-,-,True,ebs,-,True,True,TRUE,FALSE,0.0099,0.0076,0.0076,,,,,,-,-,-,-,-,-
t2.micro,t2,micro,"az2,az4,az1",TRUE,FALSE,FALSE,xen,1,"i386, x86_64",1,-,1,-,2.5,1,-,-,-,-,supported,unsupported,低-中,低-中,低-中,unsupported,2,2,2,True,"partition, spread",-,-,True,ebs,-,True,True,TRUE,FALSE,0.0198,0.0152,0.0152,0.0296,,,,,-,-,-,-,-,-
t2.small,t2,small,"az1,az2,az4",FALSE,FALSE,FALSE,xen,1,"i386, x86_64",1,-,1,-,2.5,2,-,-,-,-,supported,unsupported,低-中,低-中,低-中,unsupported,3,4,4,True,"partition, spread",-,-,True,ebs,-,True,True,TRUE,FALSE,0.0396,0.0304,0.0604,0.0448,,,,,-,-,-,-,-,-
t2.medium,t2,medium,"az4,az1,az2",FALSE,FALSE,FALSE,xen,2,"i386, x86_64",2,-,1,-,2.3,4,-,-,-,-,supported,unsupported,低-中,低-中,低-中,unsupported,3,6,6,True,"partition, spread",-,-,True,ebs,-,True,True,TRUE,FALSE,0.0788,0.0608,0.1608,0.0896,,,,,-,-,-,-,-,-
t2.large,t2,large,"az1,az4,az2",FALSE,FALSE,FALSE,xen,2,x86_64,2,-,1,-,2.3,8,-,-,-,-,supported,unsupported,低-中,低-中,低-中,unsupported,3,12,12,True,"partition, spread",-,-,True,ebs,-,True,True,TRUE,FALSE,0.1496,0.1216,0.2216,0.1504,,,,,-,-,-,-,-,-
t2.xlarge,t2,xlarge,"az4,az2,az1",FALSE,FALSE,FALSE,xen,4,x86_64,4,-,1,-,2.3,16,-,-,-,-,supported,unsupported,中,中,中,unsupported,3,15,15,True,"partition, spread",-,-,True,ebs,-,True,True,TRUE,FALSE,0.2842,0.2432,0.3432,0.3008,,,,,-,-,-,-,-,-
t2.2xlarge,t2,2xlarge,"az4,az2,az1",FALSE,FALSE,FALSE,xen,8,x86_64,8,-,1,-,2.3,32,-,-,-,-,supported,unsupported,中,中,中,unsupported,3,15,15,True,"partition, spread",-,-,True,ebs,-,True,True,TRUE,FALSE,0.5484,0.4864,0.5864,0.6016,,,,,-,-,-,-,-,-
t3.nano,t3,nano,"az4,az2,az1",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",2.5,0.5,-,-,-,-,supported,default,max5G,0.032,5,required,2,2,2,True,"partition, spread",-,-,True,ebs,True,True,True,TRUE,FALSE,0.0114,0.0068,0.0068,,,,,,2085,260.62,11800,43,5.38,250
t3.micro,t3,micro,"az1,az4,az2",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",2.5,1,-,-,-,-,supported,default,max5G,0.064,5,required,2,2,2,True,"partition, spread",-,-,True,ebs,True,True,True,TRUE,FALSE,0.0228,0.0136,0.0136,0.0424,,,,,2085,260.62,11800,87,10.88,500
t3.small,t3,small,"az1,az2,az4",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",2.5,2,-,-,-,-,supported,default,max5G,0.128,5,required,3,4,4,True,"partition, spread",-,-,True,ebs,True,True,True,TRUE,FALSE,0.0456,0.0272,0.0582,0.056,,,,,2085,260.62,11800,174,21.75,1000
t3.medium,t3,medium,"az4,az1,az2",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",2.5,4,-,-,-,-,supported,default,max5G,0.256,5,required,3,6,6,True,"partition, spread",-,-,True,ebs,True,True,True,TRUE,FALSE,0.0728,0.0544,0.1107,0.0832,0.0864,0.0968,0.068,0.1243,2085,260.62,11800,347,43.38,2000
t3.large,t3,large,"az4,az2,az1",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",2.5,8,-,-,-,-,supported,default,max5G,0.512,5,required,3,12,12,True,"partition, spread",-,-,True,ebs,True,True,True,TRUE,FALSE,0.1364,0.1088,0.1651,0.1376,,,,,2780,347.5,15700,695,86.88,4000
t3.xlarge,t3,xlarge,"az4,az2,az1",FALSE,FALSE,FALSE,nitro,4,x86_64,2,2,2,"1,2",2.5,16,-,-,-,-,supported,default,max5G,1.024,5,required,4,15,15,True,"partition, spread",-,-,True,ebs,True,True,True,TRUE,FALSE,0.2912,0.2176,0.2739,0.2752,0.3456,0.3296,0.272,0.3283,2780,347.5,15700,695,86.88,4000
t3.2xlarge,t3,2xlarge,"az2,az1,az4",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"2,4",2,"1,2",2.5,32,-,-,-,-,supported,default,max5G,2.048,5,required,4,15,15,True,"partition, spread",-,-,True,ebs,True,True,True,TRUE,FALSE,0.5824,0.4352,0.5602,0.5504,,,,,2780,347.5,15700,695,86.88,4000
a1.medium,a1,medium,"az4,az2",FALSE,FALSE,FALSE,nitro,1,arm64,1,-,1,-,2.3,2,-,-,-,-,supported,default,max10G,-,-,required,2,4,4,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,FALSE,FALSE,,0.0321,0.0631,0.0465,,,,,3500,437.5,20000,300,37.5,2500
a1.large,a1,large,"az2,az4",FALSE,FALSE,FALSE,nitro,2,arm64,2,-,1,-,2.3,4,-,-,-,-,supported,default,max10G,-,-,required,3,10,10,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,FALSE,FALSE,,0.0642,0.1205,0.093,,,,,3500,437.5,20000,525,65.62,4000
a1.xlarge,a1,xlarge,"az2,az4",FALSE,FALSE,FALSE,nitro,4,arm64,4,-,1,-,2.3,8,-,-,-,-,supported,default,max10G,-,-,required,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,FALSE,FALSE,,0.1284,0.1847,0.186,,,,,3500,437.5,20000,800,100,6000
a1.2xlarge,a1,2xlarge,"az2,az4",FALSE,FALSE,FALSE,nitro,8,arm64,8,-,1,-,2.3,16,-,-,-,-,supported,default,max10G,-,-,required,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,FALSE,FALSE,,0.2568,0.3818,0.372,,,,,3500,437.5,20000,1750,218.75,10000
a1.4xlarge,a1,4xlarge,"az2,az4",FALSE,FALSE,FALSE,nitro,16,arm64,16,-,1,-,2.3,32,-,-,-,-,supported,default,max10G,-,-,required,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,FALSE,FALSE,,0.5136,0.6386,0.6864,,,,,3500,437.5,20000,3500,437.5,20000
a1.metal,a1,metal,"az2,az4",FALSE,FALSE,TRUE,,16,arm64,16,-,1,-,2.3,32,-,-,-,-,supported,default,max10G,-,-,required,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,FALSE,FALSE,,0.514,0.639,0.686,,,,,3500,437.5,20000,3500,437.5,20000
c1.medium,c1,medium,"az1,az4",FALSE,FALSE,FALSE,xen,2,"i386, x86_64",2,-,1,-,,1.7,350,True,hdd,1,supported,unsupported,中,-,-,unsupported,2,6,-,-,"partition, spread",-,-,-,"ebs, instance-store",-,-,-,FALSE,FALSE,0.258,0.158,0.258,0.187,,,,,-,-,-,-,-,-
c1.xlarge,c1,xlarge,"az4,az1",FALSE,FALSE,FALSE,xen,8,x86_64,8,-,1,-,,7,1680,True,hdd,4,supported,supported,高,-,-,unsupported,4,15,-,-,"partition, spread",-,-,-,"ebs, instance-store",-,-,-,FALSE,FALSE,1.032,0.632,0.732,0.747,,,,,1000,125,8000,0,0,0
c3.large,c3,large,"az4,az1",FALSE,FALSE,FALSE,xen,2,"i386, x86_64",1,1,2,"1,2",2.8,3.75,32,True,ssd,2,supported,unsupported,中,-,-,unsupported,3,10,10,True,"cluster, partition, spread",-,-,True,"ebs, instance-store",True,True,-,FALSE,FALSE,0.231,0.128,0.228,0.157,,,,,-,-,-,-,-,-
c3.xlarge,c3,xlarge,"az4,az1",FALSE,FALSE,FALSE,xen,4,x86_64,2,"1,2",2,"1,2",2.8,7.5,80,True,ssd,2,supported,supported,中,-,-,unsupported,4,15,15,True,"cluster, partition, spread",-,-,True,"ebs, instance-store",True,True,-,FALSE,FALSE,0.462,0.255,0.355,0.314,,,,,500,62.5,4000,0,0,0
c3.2xlarge,c3,2xlarge,"az1,az4",FALSE,FALSE,FALSE,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.8,15,160,True,ssd,2,supported,supported,高,-,-,unsupported,4,15,15,True,"cluster, partition, spread",-,-,True,"ebs, instance-store",True,True,-,FALSE,FALSE,0.925,0.511,0.611,0.627,,,,,1000,125,8000,0,0,0
c3.4xlarge,c3,4xlarge,"az1,az4",FALSE,FALSE,FALSE,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.8,30,320,True,ssd,2,supported,supported,高,-,-,unsupported,8,30,30,True,"cluster, partition, spread",-,-,True,"ebs, instance-store",True,True,-,FALSE,FALSE,1.849,1.021,1.121,1.197,,,,,2000,250,16000,0,0,0
c3.8xlarge,c3,8xlarge,"az4,az1",FALSE,FALSE,FALSE,xen,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",2.8,60,640,True,ssd,2,supported,unsupported,10G,-,-,unsupported,8,30,30,True,"cluster, partition, spread",-,-,True,"ebs, instance-store",True,True,-,FALSE,FALSE,3.699,2.043,2.143,2.394,,,,,-,-,-,-,-,-
c4.large,c4,large,"az2,az4,az1",FALSE,FALSE,FALSE,xen,2,x86_64,1,1,2,"1,2",2.9,3.75,-,-,-,-,supported,default,中,-,-,unsupported,3,10,10,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,FALSE,FALSE,0.218,0.126,0.226,0.155,,,,,500,62.5,4000,500,62.5,4000
c4.xlarge,c4,xlarge,"az1,az4,az2",FALSE,FALSE,FALSE,xen,4,x86_64,2,"1,2",2,"1,2",2.9,7.5,-,-,-,-,supported,default,高,-,-,unsupported,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,FALSE,FALSE,0.436,0.252,0.352,0.31,,,,,750,93.75,6000,750,93.75,6000
c4.2xlarge,c4,2xlarge,"az1,az4,az2",FALSE,FALSE,FALSE,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.9,15,-,-,-,-,supported,default,高,-,-,unsupported,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,FALSE,FALSE,0.872,0.504,0.604,0.619,,,,,1000,125,8000,1000,125,8000
c4.4xlarge,c4,4xlarge,"az4,az2,az1",FALSE,FALSE,FALSE,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.9,30,-,-,-,-,supported,default,高,-,-,unsupported,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,FALSE,FALSE,1.744,1.008,1.108,1.181,,,,,2000,250,16000,2000,250,16000
c4.8xlarge,c4,8xlarge,"az1,az2,az4",FALSE,FALSE,FALSE,xen,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",2.9,60,-,-,-,-,supported,default,10G,-,-,unsupported,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,FALSE,FALSE,3.672,2.016,2.116,2.405,,,,,4000,500,32000,4000,500,32000
